trabajaremos	1				
trabaje	1				
tradicional	0				
traidor	-2				
traidora	-2				
tranquilo	0				
transforma	0				
transformado	0				
transformamos	1				
transformar	0				
transparente	2				
trata	0				
tratando	0				
tributaria	0				
triste	-2				
tuvieron	0				
tuvo	0				
última	0				
Ultimando	0				
últimas	-1				
último	-1				
últimos	-1				
unan	0				
une	0				
unen	0				
Únete	1				
única	0				
único	0				
unida	0				
unido	0				
unidos	1				
uniéndonos	0				
unir	0				
unirnos	0				
unirse	0				
unitario	0				
Urbana	0				
urbano	0				
urbanos	0				
urgente	0				
urgentes	0				
uribe	0				
uribista	0				
usa	0				
usan	0				
usaquen	0				
usar	0				
usen	0				
Úsuga	0				
útil	1				
utilicen	0				
utilizó	0				
va	0				
vale	0				
Valoramos	1				
Vamos	0				
van	0				
vas	0				
Vaya	0				
vayan	0				
ve	0				
vea	0				
véalo	0				
vean	0				
vemos	0				
ven	0				
vende	0				
vender	0				
venezolana	0				
vengan	0				
venido	0				
veo	0				
ver	0				
vera	0				
verdadera	1				
verdaderos	1				
verde	0				
verdes	0				
veremos	0				
vergonzosa	-1				
Vergonzoso	-2				
verla	0				
via	0				
vial	0				
viales	0				
viendo	0				
viene	0				
vienen	0				
vieron	0				
vio	0				
viole	-2				
visita	0				
visitar	0				
visiten	0				
visto	0				
vital	1				
viva	0				
vivamos	0				
vive	0				
viven	0				
viviente	0				
vivimos	0				
vivir	0				
vivo	0				
volver	0				
volverlo	0				
volvió	0				
vota	0				
votan	0				
votando	0				
votar	0				
votaré	1				
votaría	1				
vote	0				
voten	0				
voto	0				
voy	0				
vuelva	0				
vuelve	0				
puta	-1
jueputa	-1
hijueputa	-1
hp	-1
mierda	-1
carcel	-1							
alcahueta	-1
maldito	-1
pena	-1
soborno	-1
extorsión	-1
hurto	-1
cohecho	-1
ilegalidad	-1
ilícito	-1
fraude	-1
serrucho	-1
tajada	-1
mermelada	-1
paz	-1
politiquera	-1
politiquero	-1
credibilidad	1
baboso	-1
babosada	-1
babosadas	-1
enmermelado	-1
enmermelada	-1
pendejo	-1
pendeja	-1
