"","corrupción"
"capital",0.00120734775434992
"caribe",-0.00451959460826251
"incertidumbre",0.000125941382905603
"electricaribe",-0.0233771662854053
"impuestos",-0.00198408965821888
"frenado",-0.00142489967881993
"consumo",-0.0469453098910038
"gastaron",-0.00196925110538085
"bonanza",-0.0181571308916552
"petrolera",0.000206111820242146
"ingreso",-0.00240848373803089
"petrolero",-0.0335446384412819
"paradas",-0.0210414675296015
"vías",-0.0570508259497228
"importantes",0.00897844649219768
"siguen",-0.023074459563334
"hablando",-0.000568813565232412
"riesgo",-0.00780332512651139
"cierre",0.0112404386112709
"financiero",0.00377855437673808
"4g",-0.00996438429593986
"hogares",-0.0291728876433454
"pasó",-0.0508242221826946
"crecer",-0.0417172727679674
"presupuesto",-0.000417393397742798
"agro",-0.0482081116577233
"producto",-0.0250165777343386
"acuerdos",-0.0901916403608065
"paralizadas",-0.0210414675296015
"empezando",-0.0398111533388135
"odebrecht",0.0617399594659571
"sustituido",-0.0240125477113027
"suspendieron",-0.0210414675296015
"aceleración",-0.0210414675296015
"cúcuta",-0.0308277830592508
"bmanga",-0.0210414675296015
"anuncian",-0.0386024003533214
"revivir",-0.0294207700490148
"pte",-0.029476131859189
"mienta",-0.0306647409006044
"libre",-0.0342757080326774
"comercio",-0.0239446794681667
"viraje",-0.0210414675296015
"chávez-el",-0.0210414675296015
"amigo",-0.0284452306133505
"maduro",-0.0244148177752758
"oportunismo",-0.0267349838121531
"serio",-0.0346653887230947
"extranjeras",-0.0361047083905184
"nuevamente",-0.0631063385768133
"afectado",0.023600614016916
"incremento",-0.0507453973701608
"tala",-0.0210414675296015
"árboles",-0.0210414675296015
"voladuras",-0.0210414675296015
"oleoductos",-0.0273230643077625
"mermelada",0.0152396971443152
"estimulado",-0.0376410809533934
"sobornos",-0.0661026175286569
"empresas",-0.0446120392793857
"estimulan",-0.00814396260569616
"diferencia",-0.00564613791910597
"visión",-0.0544448180060555
"denomina",-0.036145016388194
"polarización",-0.00638339003463172
"ego",-0.0210414675296015
"provoca",-0.0210414675296015
"enfrentamientos",-0.0349534930205242
"regiones",0.00465726480154887
"manejo",-0.00760392671106982
"politiquero",-0.0239774146305832
"reclamos",-0.0454660903111375
"linderos",-0.0210414675296015
"diplomacia",-0.0360206387968695
"logró",-0.0227674327048335
"elección",-0.0269829143308885
"bid",-0.043336957150802
"permitió",-0.0421847001972245
"negociador",-0.0462215681297856
"política",-0.0253172652060086
